"line","l_area","l_perimeter","l_length","l_width","l_apex","l_base","t_area","t_perimeter","t_length","t_width","t_apex","t_base","r_area","r_perimeter","r_length","r_width","r_apex","r_base"
"PI363621",58.7485797620564,37.3844011431347,8.63966400348694,8.19819147086882,88.7447576217867,102.639869876731,52.7500727439996,35.5565081050946,8.67429283301285,8.82632857436772,89.9183625484034,111.741005854267,62.6102516400297,38.7630724218731,9.13529307665254,8.40000871288186,87.6896925654314,100.649735392438
"PI363628",45.8188682112242,32.8821210849362,8.23270318520812,7.14208571865427,84.0388003946936,98.1206847108475,45.8797930647896,33.7246309606933,8.44949334403693,7.95726931190212,87.304432014511,108.141101846136,46.990419099131,33.64663075381,8.26559934455418,7.21381640080705,86.5403702064884,99.1558306447351
"PI363631",50.8675862578646,34.8066108462424,8.48321895719607,7.48950837325296,88.0210108227778,99.9375718978257,49.4697997562887,34.6462582634615,8.78363253782029,8.19431907084734,89.1183008965581,107.330379588742,51.3168449869236,34.6867864755725,8.55638307904867,7.54636039785961,89.3480987164913,101.043234018043
"PI363635",48.0839116037103,33.8941127086571,8.04895023421286,7.48757248008626,92.1056853524791,102.723626356385,45.7813717271016,33.7004950511446,8.33493499274458,7.93275786141671,94.2329776314821,109.612304613695,49.0664273657277,34.3218274135643,8.39739566177431,7.49156461883789,88.6493741683093,99.7567260671129
"PI363636",43.1922463889506,32.8626670047064,7.87109808718862,6.91460162969081,87.3418334999195,100.053456001454,43.4045337924017,32.3364879187544,8.26122356043237,7.6823378843395,90.3461103342404,107.811836844237,45.1051862791268,33.0469841700479,8.22070140765284,7.07138710260255,83.9847300513195,98.6311736519918
"PI363638",58.8057737735942,37.1407525979335,8.93409608533284,8.15094062675728,87.3192511936084,100.902399265418,54.0410424431498,36.2762926475941,9.19389079552928,8.82535662463799,84.562908545476,108.255652431589,58.9110915367694,37.3498744717114,9.13934131169326,8.20095783788311,85.2811585880536,98.9963279287984
"PI363645",53.5368239388418,35.264456564049,8.31061187686617,7.95194581155225,87.120120534594,101.20259499288,47.6919380347346,34.0711958606654,8.56139259920766,8.27820176221355,94.0446455827218,111.516884678228,54.2013939966821,35.9966677461554,8.4174950450668,7.93604161098005,89.2499006885557,102.404685570911
"PI363647",53.4110355501634,35.6690531670315,8.31647937903643,7.72449322774145,91.8307669108754,103.602474418855,46.9589168649305,33.7419111682455,8.35013177091038,8.28871804700855,88.5805301836432,111.00404549242,52.6586660175977,35.2908557124122,8.47825078238475,7.63761916589338,88.233404220511,100.885925313039
"PI363657",41.2005135101115,31.5960414862661,7.8871149380261,6.84555566914928,85.2630568698576,100.184571300036,40.5386722951107,31.7241378105445,8.44407049724633,7.29179268602136,81.921432987436,103.730610074761,43.0387059829698,32.9190978442148,8.11171037626031,6.85667533131257,82.2839146834651,96.4623812282546
"PI363668",47.5222253093632,34.1573049906491,8.68371521756899,7.13130446554527,81.3876841218879,94.654595082868,45.1529977418739,34.4286063943816,8.73978585289444,7.78241893581817,83.6713062402266,104.96572894394,48.6922593614302,34.6471337760922,8.61647874994527,7.14472601455202,82.7394747866919,93.2502027900489
"PI363678",42.1424905994097,32.5821897140852,8.25795261590051,6.74180351729665,77.7980326161383,93.7441351901088,39.6949006697305,31.7679548126376,8.33674199411352,7.10449544927619,85.727349028601,102.274402266943,43.1417859181305,33.2231363765599,8.37436640331695,6.73909080815258,77.1922626995413,93.3547341177138
"PI363696",41.0552619766395,31.7979323959297,7.96326067541277,6.64493490272978,82.1497706282312,95.7607627866745,39.6959780631368,31.4295198797749,8.18088004087267,7.30732477268152,89.1830919026187,105.753305516708,43.7786821255739,32.5909427775819,8.1544478496704,6.87758650384464,81.9058422302832,94.8522791840305
"PI363699",50.492248101202,35.2351469093456,8.5902889304157,7.54173811690008,83.7464333433201,98.7844660019922,49.9734035098713,35.407019840901,8.50277133474994,8.54966521265695,89.3806955415396,111.837387201947,53.285255553857,36.514960295876,8.88261572097858,7.72884240162067,80.8499619504306,95.9438802865155
"PI363701",64.2486601382321,38.4385378928146,9.15853831766113,8.57746794393112,90.3993067892514,102.563292248757,60.5691809546177,37.8873496779773,9.22351947214267,9.30664958628381,93.2119600362489,110.645410666851,66.6659839123458,39.1542672959965,9.25184739369244,8.75576579546972,87.6233309048083,101.136210791315
"PI363704",45.5931656857263,32.3504851007603,7.64690783073653,7.08155497645858,87.1987381771534,100.043610600948,44.6236992911826,32.2823964505476,8.22364796478848,7.82490717058432,92.4726745855612,109.907694048067,45.4568236338528,32.760080202809,8.43013307028464,7.01228059940717,83.3606215877151,95.7875833944789
"PI363763",59.3275711172113,36.9314907661241,9.12702443665032,8.07021246756107,84.5630128292509,97.6691762264894,59.0869755672484,37.4414717751274,9.21008967792609,9.09737858007665,91.6721255203617,109.735640147741,60.2381193378496,37.3038823013339,8.93427456401057,8.16020028162366,85.6909633133335,98.5766524707954
