"plot","loc","year","bloc","line","l_area","l_perimeter","l_length","l_width","l_apex","l_base","t_area","t_perimeter","t_length","t_width","t_apex","t_base","r_area","r_perimeter","r_length","r_width","r_apex","r_base"
928,"bruner",2020,1,"PI425714",46.4290331066667,37.9343899233333,7.73422819133333,8.01246105933333,78.8181833233333,106.83619575,34.02589746,30.59097611,7.42990654233333,7.492211838,72.4645960033333,111.1649697,49.22892829,36.12903511,6.859813084,7.663551402,85.1399685833333,102.371844846667
93,"burkey",2020,1,"PI363419",46.0058454666667,33.80948749,7.46048109966667,7.04123711333333,83.0097295466667,95.56170574,43.5394303333333,38.9828998066667,8.71821305833333,7.89347079066667,73.20517469,96.7062669766667,46.2089311666667,34.5085892033333,7.12371134,7.003436426,82.50046689,94.1736922733333
930,"bruner",2020,1,"PI425725",34.8802869233333,30.0462719466667,6.70091586566667,6.37654321,79.88339695,100.188344826667,28.19717364,25.9756724633333,6.31790123466667,6.54629629633333,89.0965907333333,111.652640533333,34.18229881,29.0191301666667,7.13271604933333,6.166666667,80.8773905066667,96.2711026766667
931,"bruner",2020,1,"PI425726",54.1645813033333,38.5733086666667,8.56899734633333,7.71599169266667,81.19497138,96.87571536,50.7081201333333,34.5166609366667,8.99368293633333,8.49350986533333,87.39298327,109.203389533333,54.0599052,37.1610417833333,9.45454021166667,7.53605630533333,81.6729291533333,93.28571695
932,"bruner",2020,1,"PI425742",41.2711153833333,34.1748279133333,7.186915888,6.919003115,82.3373393766667,96.8998606833333,37.6526479733333,31.7657916533333,7.875389408,7.81308411233333,84.30510005,111.344391133333,40.6545404266667,32.8720302633333,4.80685358266667,6.906542056,96.4286658066667,105.488587183333
933,"bruner",2020,1,"PI425765",49.19704778,37.68562454,8.691588785,7.28971962633333,76.7554073966667,91.7939926233333,37.2768364033333,32.4378956233333,8.46105919,7.55451713366667,74.13786143,104.745628466667,43.6455585633333,36.4714049166667,5.64485981333333,6.691588785,76.3314638133333,103.7282381
934,"bruner",2020,1,"PI425766",40.70814057,33.0763061866667,8.141141142,6.51951951966667,80.1858578966667,90.8816339666667,41.6621892166667,32.0434285166667,8.288288288,7.45945945933333,87.8761273666667,105.449549833333,42.50607364,34.2504348433333,7.32132132133333,6.81981982,83.5294476566667,99.93315776
935,"bruner",2020,1,"PI425768",15.9301540166667,19.79390187,4.31899628033333,4.20249221166667,81.5327395,92.8896130733333,16.4858794066667,19.6597240933333,6.18380062333333,3.903426791,71.14301832,85.2018661466667,17.5697586366667,20.5895533033333,4.92211838,4.028037383,85.02427862,90.52798829
938,"bruner",2020,1,"PI425798",56.4124959233333,38.3379374933333,10.0470103093333,8.115553248,75.9030742466667,93.1783266166667,50.94154479,35.6545292466667,9.64506173,8.47891427266667,87.19096329,106.035408366667,55.87599239,37.5486819466667,9.34308295666667,8.13880235366667,83.3199034633333,96.6326283466667
939,"bruner",2020,1,"PI425803",44.1686235166667,33.11486914,7.830200145,7.25245400566667,87.1464208733333,99.85028363,41.45148536,33.4403117866667,7.76291659333333,7.92094280833333,98.3509188766667,113.7150009,40.5931192266667,30.83100996,7.61241403633333,6.899782519,85.3091514833333,98.14535606
